Statistical profiling result from sin_console-v8.log, (6386 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  Function: ^parse /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      2    0.0%    0.1%  Function: ^getEncodingOps node:buffer:679:24
      2    0.0%    0.1%  Function: ^finish /home/rdonaire/Desktop/backend/node_modules/glob/common.js:122:17
      2    0.0%    0.1%  Function: ^adopt /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:19:19
      2    0.0%    0.1%  Function: ^accept /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      2    0.0%    0.1%  Function: ^FastBuffer node:internal/buffer:958:14
      1    0.0%    0.1%  RegExp: ^\s*?\r?\n
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.1%  RegExp: ^(?:=)
      1    0.0%    0.1%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      1    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.1%  RegExp: [&<>"'`=]
      1    0.0%    0.1%  RegExp: (?:^|[\\/])\.\.(?:[\\/]|$)
      1    0.0%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      1    0.0%    0.1%  LazyCompile: *wrapHelper /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:6:20
      1    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      1    0.0%    0.1%  LazyCompile: *template /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      1    0.0%    0.1%  LazyCompile: *setupHelperArgs /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      1    0.0%    0.1%  LazyCompile: *setHeader node:_http_outgoing:574:57
      1    0.0%    0.1%  LazyCompile: *resolvePath /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      1    0.0%    0.1%  LazyCompile: *realpathSync node:fs:2425:22
      1    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      1    0.0%    0.1%  LazyCompile: *readFileSync node:fs:450:22
      1    0.0%    0.1%  LazyCompile: *readFileAfterOpen node:fs:310:27
      1    0.0%    0.1%  LazyCompile: *readFile /home/rdonaire/Desktop/backend/node_modules/graceful-fs/graceful-fs.js:111:21
      1    0.0%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.1%  LazyCompile: *popAsyncContext node:internal/async_hooks:554:25
      1    0.0%    0.1%  LazyCompile: *parse /home/rdonaire/Desktop/backend/node_modules/minimatch/minimatch.js:413:9
      1    0.0%    0.1%  LazyCompile: *opcode /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.1%  LazyCompile: *internalNameLookup /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:66:50
      1    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      1    0.0%    0.1%  LazyCompile: *each /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      1    0.0%    0.1%  LazyCompile: *close node:internal/fs/read_file_context:111:8
      1    0.0%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      1    0.0%    0.1%  LazyCompile: *SourceNode_prepend /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.1%  LazyCompile: *SourceNode_add /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:172:51
      1    0.0%    0.1%  LazyCompile: *Program /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      1    0.0%    0.1%  LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    0.0%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.1%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      1    0.0%    0.1%  LazyCompile: *ContentStatement /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      1    0.0%    0.1%  LazyCompile: *<anonymous> node:vm:313:27
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:370:43
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      1    0.0%    0.1%  Function: ^write_ node:_http_outgoing:730:16
      1    0.0%    0.1%  Function: ^wrapper /home/rdonaire/Desktop/backend/node_modules/wrappy/wrappy.js:19:19
      1    0.0%    0.1%  Function: ^validateOffset node:buffer:112:24
      1    0.0%    0.1%  Function: ^validateEncoding node:internal/validators:199:26
      1    0.0%    0.1%  Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1    0.0%    0.1%  Function: ^template /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.1%  Function: ^stripFlags /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:52:20
      1    0.0%    0.1%  Function: ^storeHeader node:_http_outgoing:517:21
      1    0.0%    0.1%  Function: ^step /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      1    0.0%    0.1%  Function: ^shouldTouch /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:453:25
      1    0.0%    0.1%  Function: ^setupParams /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      1    0.0%    0.1%  Function: ^setupHelper /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      1    0.0%    0.1%  Function: ^session /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:179:26
      1    0.0%    0.1%  Function: ^send /home/rdonaire/Desktop/backend/node_modules/express/lib/response.js:111:25
      1    0.0%    0.1%  Function: ^render /home/rdonaire/Desktop/backend/node_modules/express/lib/application.js:548:29
      1    0.0%    0.1%  Function: ^realpathSync node:fs:2425:22
      1    0.0%    0.1%  Function: ^readdirCb /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:550:20
      1    0.0%    0.1%  Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1    0.0%    0.1%  Function: ^pushAsyncContext node:internal/async_hooks:540:26
      1    0.0%    0.1%  Function: ^process_params /home/rdonaire/Desktop/backend/node_modules/express/lib/router/index.js:338:47
      1    0.0%    0.1%  Function: ^processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.1%  Function: ^processHeader node:_http_outgoing:501:23
      1    0.0%    0.1%  Function: ^passLookupPropertyOption /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:366:34
      1    0.0%    0.1%  Function: ^parserOnIncoming node:_http_server:857:26
      1    0.0%    0.1%  Function: ^parse /home/rdonaire/Desktop/backend/node_modules/content-type/index.js:106:16
      1    0.0%    0.1%  Function: ^ontouch /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:347:65
      1    0.0%    0.1%  Function: ^onstat /home/rdonaire/Desktop/backend/node_modules/send/index.js:717:33
      1    0.0%    0.1%  Function: ^once /home/rdonaire/Desktop/backend/node_modules/once/once.js:21:15
      1    0.0%    0.1%  Function: ^onResponseHeaders /home/rdonaire/Desktop/backend/node_modules/compression/index.js:140:47
      1    0.0%    0.1%  Function: ^now /home/rdonaire/Desktop/backend/node_modules/tarn/dist/utils.js:18:13
      1    0.0%    0.1%  Function: ^module.exports /home/rdonaire/Desktop/backend/node_modules/utils-merge/index.js:16:36
      1    0.0%    0.1%  Function: ^makeCallback node:fs:185:22
      1    0.0%    0.1%  Function: ^lookupOnContext /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      1    0.0%    0.1%  Function: ^isEncoding node:buffer:530:40
      1    0.0%    0.1%  Function: ^initialize /home/rdonaire/Desktop/backend/node_modules/passport/lib/middleware/initialize.js:51:29
      1    0.0%    0.1%  Function: ^initAsyncResource node:internal/timers:157:27
      1    0.0%    0.1%  Function: ^id /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:44:12
      1    0.0%    0.1%  Function: ^getValidatedString /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/deserializer.js:641:28
      1    0.0%    0.1%  Function: ^getSession /home/rdonaire/Desktop/backend/node_modules/express-session/session/memory.js:164:20
      1    0.0%    0.1%  Function: ^getOptionValue node:internal/options:39:24
      1    0.0%    0.1%  Function: ^get node:internal/streams/writable:837:8
      1    0.0%    0.1%  Function: ^get node:internal/streams/writable:787:8
      1    0.0%    0.1%  Function: ^fulfilled /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      1    0.0%    0.1%  Function: ^fastparse /home/rdonaire/Desktop/backend/node_modules/parseurl/index.js:95:20
      1    0.0%    0.1%  Function: ^f /home/rdonaire/Desktop/backend/node_modules/once/once.js:22:20
      1    0.0%    0.1%  Function: ^endReadableNT node:internal/streams/readable:1338:23
      1    0.0%    0.1%  Function: ^emitStatistics node:internal/http:36:24
      1    0.0%    0.1%  Function: ^dirname node:path:1275:10
      1    0.0%    0.1%  Function: ^deserializeObject /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.0%    0.1%  Function: ^createError /home/rdonaire/Desktop/backend/node_modules/http-errors/index.js:49:22
      1    0.0%    0.1%  Function: ^compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    0.0%    0.1%  Function: ^closeSync /home/rdonaire/Desktop/backend/node_modules/graceful-fs/graceful-fs.js:72:24
      1    0.0%    0.1%  Function: ^clearTimeout node:timers:184:22
      1    0.0%    0.1%  Function: ^clearStateChar /home/rdonaire/Desktop/backend/node_modules/minimatch/minimatch.js:447:28
      1    0.0%    0.1%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.1%  Function: ^checkListener node:events:258:23
      1    0.0%    0.1%  Function: ^castChunk /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      1    0.0%    0.1%  Function: ^appendToBuffer /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      1    0.0%    0.1%  Function: ^append node:internal/linkedlist:30:16
