Statistical profiling result from result_sin_console-v8.log, (7248 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *quotedString /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      2    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.1%  LazyCompile: *Module.load node:internal/modules/cjs/loader:969:33
      2    0.0%    0.1%  LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
      2    0.0%    0.1%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:681:42
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      2    0.0%    0.1%  Function: ^readdirCb /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:550:20
      2    0.0%    0.1%  Function: ^listenerCount node:events:854:23
      2    0.0%    0.1%  Function: ^hb.compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars.js:38:25
      2    0.0%    0.1%  Function: ^deserializeObject /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/deserializer.js:65:27
      2    0.0%    0.1%  Function: ^compileFunction node:vm:308:25
      2    0.0%    0.1%  Function: ^ExpressHandlebars.getTemplates /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:196:57
      2    0.0%    0.1%  Function: ^<anonymous> node:internal/util:347:32
      2    0.0%    0.1%  Function: ^<anonymous> :1:20
      2    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/engine.io/build/server.js:479:30
      1    0.0%    0.1%  RegExp: ^\s*?(\r?\n|$)
      1    0.0%    0.1%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      1    0.0%    0.1%  RegExp: ^\[.*\]$
      1    0.0%    0.1%  RegExp: ^\/info\/?$
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.1%  RegExp: ^(?:\))
      1    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      1    0.0%    0.1%  RegExp: ^(?!\.)(?=.)[^/]*?\.hbs$
      1    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.1%  RegExp: =+$
      1    0.0%    0.1%  RegExp: ;\s*charset\s*=
      1    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      1    0.0%    0.1%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.1%  LazyCompile: *step /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:23:22
      1    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      1    0.0%    0.1%  LazyCompile: *resolvePath /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      1    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      1    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.1%  LazyCompile: *push /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      1    0.0%    0.1%  LazyCompile: *preparePath /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.1%  LazyCompile: *popAsyncContext node:internal/async_hooks:554:25
      1    0.0%    0.1%  LazyCompile: *padWithZeros /home/rdonaire/Desktop/backend/node_modules/date-format/lib/index.js:3:22
      1    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      1    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.1%  LazyCompile: *lookupProperty /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      1    0.0%    0.1%  LazyCompile: *lookupOnContext /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      1    0.0%    0.1%  LazyCompile: *handle /home/rdonaire/Desktop/backend/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.1%  LazyCompile: *formatWithOptionsInternal node:internal/util/inspect:2048:35
      1    0.0%    0.1%  LazyCompile: *extend /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      1    0.0%    0.1%  LazyCompile: *each /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      1    0.0%    0.1%  LazyCompile: *createNewLookupObject /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      1    0.0%    0.1%  LazyCompile: *compileFunction node:vm:308:25
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *appendContent /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:375:40
      1    0.0%    0.1%  LazyCompile: *afterWriteTick node:internal/streams/writable:482:24
      1    0.0%    0.1%  LazyCompile: *SubExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      1    0.0%    0.1%  LazyCompile: *SourceNode_prepend /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.1%  LazyCompile: *RES /home/rdonaire/Desktop/backend/node_modules/inflight/inflight.js:18:28
