Statistical profiling result from result_con_console-v8.log, (8335 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *parse /home/rdonaire/Desktop/backend/node_modules/minimatch/minimatch.js:413:9
      2    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      2    0.0%    0.1%  LazyCompile: *appendEscaped /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      2    0.0%    0.1%  LazyCompile: *_addListener node:events:555:22
      2    0.0%    0.1%  LazyCompile: *__generator /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      2    0.0%    0.1%  LazyCompile: *WhitespaceControl.Program /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.1%  LazyCompile: *Module.load node:internal/modules/cjs/loader:969:33
      2    0.0%    0.1%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:375:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> node:vm:313:27
      2    0.0%    0.1%  Function: ^toString node:buffer:783:46
      2    0.0%    0.1%  Function: ^pushAsyncContext node:internal/async_hooks:540:26
      2    0.0%    0.1%  Function: ^make /home/rdonaire/Desktop/backend/node_modules/minimatch/minimatch.js:188:8
      2    0.0%    0.1%  Function: ^invokeAmbiguous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      2    0.0%    0.1%  Function: ^get node:internal/bootstrap/pre_execution:370:8
      2    0.0%    0.1%  Function: ^clearBuffer node:internal/streams/writable:529:21
      2    0.0%    0.1%  Function: ^afterWrite node:internal/streams/writable:487:20
      2    0.0%    0.1%  Function: ^addListener node:events:618:58
      2    0.0%    0.1%  Function: ^WhitespaceControl.Program /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.1%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.1%  RegExp: ^\s*?\r?\n
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^(?:as\s+\|)
      1    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.1%  RegExp: ^(?:\()
      1    0.0%    0.1%  RegExp: ^(?:[^\x00]+)
      1    0.0%    0.1%  RegExp: ^(?:=)
      1    0.0%    0.1%  RegExp: ^(?:-?[0-9]+(?:\.[0-9]+)?(?=([~}\s)])))
      1    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      1    0.0%    0.1%  RegExp: \r?\n?
      1    0.0%    0.1%  RegExp: [&<>"'`=]
      1    0.0%    0.1%  RegExp: SSS
      1    0.0%    0.1%  RegExp: (?:^|^)\s*(?:export\s+)?([\w.-]+)(?:\s*=\s*?|:\s+?)(\s*'(?:\\'|[^'])*'|\s*"(?:\\"|[^"])*"|\s*`(?:\\`|[^`])*`|[^#\r\n]+)?\s*(?:#.*)?(?:$|$)
      1    0.0%    0.1%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      1    0.0%    0.1%  LazyCompile: *update node:internal/crypto/hash:95:40
      1    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      1    0.0%    0.1%  LazyCompile: *syncExports node:internal/bootstrap/loaders:287:14
      1    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      1    0.0%    0.1%  LazyCompile: *simpleId /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/ast.js:21:32
      1    0.0%    0.1%  LazyCompile: *setupParams /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      1    0.0%    0.1%  LazyCompile: *setupHelperArgs /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      1    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      1    0.0%    0.1%  LazyCompile: *preparePath /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.1%  LazyCompile: *popStack /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  LazyCompile: *opcode /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      1    0.0%    0.1%  LazyCompile: *internalNameLookup /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:66:50
      1    0.0%    0.1%  LazyCompile: *hasHooks node:internal/async_hooks:471:18
      1    0.0%    0.1%  LazyCompile: *formatWithOptionsInternal node:internal/util/inspect:2048:35
      1    0.0%    0.1%  LazyCompile: *formatValue node:internal/util/inspect:745:21
      1    0.0%    0.1%  LazyCompile: *emit node:events:475:44
      1    0.0%    0.1%  LazyCompile: *checkListener node:events:258:23
      1    0.0%    0.1%  LazyCompile: *anonymous /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      1    0.0%    0.1%  LazyCompile: *accept /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    0.0%    0.1%  LazyCompile: *_write node:internal/streams/writable:283:16
      1    0.0%    0.1%  LazyCompile: *SourceLocation /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  LazyCompile: *RES /home/rdonaire/Desktop/backend/node_modules/inflight/inflight.js:18:28
      1    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
      1    0.0%    0.1%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      1    0.0%    0.1%  LazyCompile: *<anonymous> :1:20
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:208:81
      1    0.0%    0.1%  Function: ^writeOrBuffer node:internal/streams/writable:365:23
      1    0.0%    0.1%  Function: ^vary /home/rdonaire/Desktop/backend/node_modules/vary/index.js:133:15
      1    0.0%    0.1%  Function: ^value node:internal/console/constructor:258:20
      1    0.0%    0.1%  Function: ^validateNumber node:internal/validators:123:24
      1    0.0%    0.1%  Function: ^update node:internal/crypto/hash:95:40
      1    0.0%    0.1%  Function: ^tryStatSync node:fs:404:21
